vehicle_make,vehicle_model,vehicle_year,vehicle_vin,vehicle_color,vehicle_price,vehicle_mileage,vehicle_condition,vehicle_transmission,vehicle_fuel_type,vehicle_body_style,vehicle_engine_size,vehicle_drivetrain,vehicle_features,Vehicle_ID,customer_id
Lexus,GS,1995,WAUUL58E05A061854,Crimson,91725.69,47045,used,automatic,gasoline,sedan,1.7,front-wheel drive,leather seats, VEH-4749  , CUS-4035  
Audi,A8,2007,SCBLE37G23C229577,Khaki,74015.78,9609,new,manual,electric,truck,5.4,rear-wheel drive,leather seats, VEH-7033  , CUS-8842  
Chevrolet,Corvette,2001,5UXKU2C59F0656706,Mauv,19365.88,171122,used,automatic,gasoline,SUV,3.3,rear-wheel drive,heated seats, VEH-5515  , CUS-8161  
Aston Martin,V12 Vantage,2011,WBA3T3C54EP553985,Orange,45987.78,142327,used,manual,gasoline,sedan,5,front-wheel drive,sunroof, VEH-8497  , CUS-9889  
Panoz,Esperante,2008,1GTN1UEH2EZ034744,Indigo,24780.98,90509,used,automatic,diesel,sedan,5.3,front-wheel drive,navigation system, VEH-7906  , CUS-4473  
Cadillac,Escalade,1999,1G4PR5SK7C4987785,Green,39913.39,95367,certified pre-owned,manual,electric,coupe,2.4,all-wheel drive,leather seats, VEH-2844  , CUS-8036  
Chevrolet,Malibu,2007,WBAPH7G51AN907617,Turquoise,30727.26,163243,certified pre-owned,manual,gasoline,coupe,4.3,front-wheel drive,leather seats, VEH-6324  , CUS-3923  
BMW,5 Series,2006,WVWED7AJ1BW721504,Maroon,68933.61,41673,new,automatic,gasoline,truck,4.7,all-wheel drive,sunroof, VEH-6991  , CUS-8306  
Honda,CR-V,2011,WAUKFBFL5AA492229,Goldenrod,19864.21,113550,certified pre-owned,manual,gasoline,truck,3.6,all-wheel drive,heated seats, VEH-6253  , CUS-3108  
Isuzu,Impulse,1992,WVWDB7AJ2EW054237,Puce,73217.71,26743,new,automatic,gasoline,coupe,2.3,rear-wheel drive,sunroof, VEH-5054  , CUS-7543  
